loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,17.084311532098514
county,wk ahead inc case,2020-07-12,15.46899106972302
county,wk ahead inc case,2020-07-19,16.352843020023194
county,wk ahead inc case,2020-07-26,16.14005608257152
county,wk ahead inc case,2020-08-03,17.127075189032155
county,wk ahead inc case,2020-08-09,15.117406323054531
county,wk ahead inc case,2020-08-16,15.629593976554327
county,wk ahead inc case,2020-08-23,13.719374578159822
county,wk ahead inc case,2020-08-30,13.752736296732161
county,wk ahead inc case,2020-09-06,13.411863137876928
county,wk ahead inc case,2020-09-13,13.900410549415565
county,wk ahead inc case,2020-09-20,14.739695148553691
county,wk ahead inc case,2020-09-27,17.304247020398417
county,wk ahead inc case,2020-10-04,20.984370962955385
county,wk ahead inc case,2020-10-11,31.135753941533633
county,wk ahead inc case,2020-10-18,43.97771446138627
county,wk ahead inc case,2020-10-25,58.721259028630556
county,wk ahead inc case,2020-11-01,65.60687080348615
county,wk ahead inc case,2020-11-09,61.104450774036934
county,wk ahead inc case,2020-11-16,56.21504129286624
county,wk ahead inc case,2020-11-23,58.55850291962296
county,wk ahead inc case,2020-11-30,62.84731819427389
county,wk ahead inc case,2020-12-07,53.07991954763042
county,wk ahead inc case,2020-12-14,44.28440857779597
county,wk ahead inc case,2020-12-21,36.148160510472096
county,wk ahead inc case,2020-12-28,39.616234731887026
county,wk ahead inc case,2021-01-04,37.15612312787101
county,wk ahead inc case,2021-01-11,52.291692145358624
county,wk ahead inc case,2021-01-18,61.779364715513715
county,wk ahead inc case,2021-01-25,43.24950792996999
county,wk ahead inc case,2021-02-01,38.241789863044076
county,wk ahead inc case,2021-02-08,32.13600541058353
county,wk ahead inc case,2021-02-15,24.580783480579434
county,wk ahead inc case,2021-02-22,18.943253821576388
county,wk ahead inc case,2021-03-01,18.47491100963069
county,wk ahead inc case,2021-03-08,18.67463580126893
county,wk ahead inc case,2021-03-15,16.485394452119433
county,wk ahead inc case,2021-03-22,17.075833871435393
county,wk ahead inc case,2021-03-29,14.777112695001593
county,wk ahead inc case,2021-04-05,14.045886371074042
county,wk ahead inc case,2021-04-12,14.663835333337122
county,wk ahead inc case,2021-04-19,18.28653007022408
county,wk ahead inc case,2021-04-26,16.094504150663607
county,wk ahead inc case,2021-05-03,15.62957300946548
county,wk ahead inc case,2021-05-10,13.928990536225626
county,wk ahead inc case,2021-05-17,11.673612254272532
county,wk ahead inc case,2021-05-24,9.576358037418753
county,wk ahead inc case,2021-05-31,7.940012133823463
county,wk ahead inc case,2021-06-07,5.923269627801009
county,wk ahead inc case,2021-06-14,5.803821627994182
county,wk ahead inc case,2021-06-21,8.383525171014954
county,wk ahead inc case,2021-06-28,15.895979797225126
county,wk ahead inc case,2021-07-05,29.151988596256988
county,wk ahead inc case,2021-07-12,46.57002354949775
county,wk ahead inc case,2021-07-19,61.83448010914277
county,wk ahead inc case,2021-07-26,73.60610383732558
county,wk ahead inc case,2021-08-02,73.38977125954501
county,wk ahead inc case,2021-08-09,61.626390899277304
county,wk ahead inc case,2021-08-16,50.998744053111224
county,wk ahead inc case,2021-08-23,45.13091836450616
county,wk ahead inc case,2021-08-30,42.06764743420754
county,wk ahead inc case,2021-09-06,39.353545504181625
county,wk ahead inc case,2021-09-13,34.94231061911959
county,wk ahead inc case,2021-09-20,37.24227075303396
county,wk ahead inc case,2021-09-27,25.928431772419437
county,wk ahead inc case,2021-10-04,21.56647899669333
county,wk ahead inc case,2021-10-11,18.384422198138722
county,wk ahead inc case,2021-10-18,15.635924709482902
county,wk ahead inc case,2021-10-25,12.299383576314714
county,wk ahead inc case,2021-11-01,11.623061505158857
national,wk ahead cum death,2020-07-05,1590.4612233695652
national,wk ahead cum death,2020-07-12,914.4607877173913
national,wk ahead cum death,2020-07-19,1384.0056587499996
national,wk ahead cum death,2020-07-26,925.1078911956521
national,wk ahead cum death,2020-08-03,434.1116392391304
national,wk ahead cum death,2020-08-09,433.29346722826085
national,wk ahead cum death,2020-08-16,600.0276931521742
national,wk ahead cum death,2020-08-23,772.0316486956511
national,wk ahead cum death,2020-08-30,975.2087789130446
national,wk ahead cum death,2020-09-06,596.2450097282615
national,wk ahead cum death,2020-09-13,94.46823788043466
national,wk ahead cum death,2020-09-20,403.4169987499997
national,wk ahead cum death,2020-09-27,190.2773862499997
national,wk ahead cum death,2020-10-04,405.08478494565236
national,wk ahead cum death,2020-10-11,596.0772833152168
national,wk ahead cum death,2020-10-18,1744.4504399999998
national,wk ahead cum death,2020-10-25,1981.9466538043482
national,wk ahead cum death,2020-11-01,3714.381473532609
national,wk ahead cum death,2020-11-09,4896.792482173914
national,wk ahead cum death,2020-11-16,6264.984622934781
national,wk ahead cum death,2020-11-23,4591.340275054349
national,wk ahead cum death,2020-11-30,8057.704988641307
national,wk ahead cum death,2020-12-07,3036.836872010871
national,wk ahead cum death,2020-12-14,2591.6945175543474
national,wk ahead cum death,2020-12-21,1786.339817500001
national,wk ahead cum death,2020-12-28,6126.069566086959
national,wk ahead cum death,2021-01-04,6382.237292391306
national,wk ahead cum death,2021-01-11,2206.2006457065218
national,wk ahead cum death,2021-01-18,1646.6813013043486
national,wk ahead cum death,2021-01-25,2151.0629041847824
national,wk ahead cum death,2021-02-01,2150.819425326088
national,wk ahead cum death,2021-02-08,5275.504123369564
national,wk ahead cum death,2021-02-15,8974.419165543475
national,wk ahead cum death,2021-02-22,1193.8348405978254
national,wk ahead cum death,2021-03-01,2668.728158206519
national,wk ahead cum death,2021-03-08,2979.1654894021763
national,wk ahead cum death,2021-03-15,1841.0826443478247
national,wk ahead cum death,2021-03-22,758.8141491304332
national,wk ahead cum death,2021-03-29,562.3816898913038
national,wk ahead cum death,2021-04-05,469.9409230434752
national,wk ahead cum death,2021-04-12,928.8725150000015
national,wk ahead cum death,2021-04-19,482.1688533152154
national,wk ahead cum death,2021-04-26,498.09693396739067
national,wk ahead cum death,2021-05-03,442.3121091847821
national,wk ahead cum death,2021-05-10,616.5525194565208
national,wk ahead cum death,2021-05-17,624.6311564673892
national,wk ahead cum death,2021-05-24,693.4979704891329
national,wk ahead cum death,2021-05-31,2195.0992063586996
national,wk ahead cum death,2021-06-07,814.6544621739121
national,wk ahead cum death,2021-06-14,583.9656967934806
national,wk ahead cum death,2021-06-21,355.09090489130597
national,wk ahead cum death,2021-06-28,503.5168546739139
national,wk ahead cum death,2021-07-05,181.64284538043538
national,wk ahead cum death,2021-07-12,304.6127219021745
national,wk ahead cum death,2021-07-19,783.7076136413049
national,wk ahead cum death,2021-07-26,1879.4423329891313
national,wk ahead cum death,2021-08-02,2829.4799204891283
national,wk ahead cum death,2021-08-09,3630.961361847829
national,wk ahead cum death,2021-08-16,5129.900602391306
national,wk ahead cum death,2021-08-23,7373.198712826087
national,wk ahead cum death,2021-08-30,5647.275602173913
national,wk ahead cum death,2021-09-06,4761.3499286413025
national,wk ahead cum death,2021-09-13,2331.882259184786
national,wk ahead cum death,2021-09-20,487.4307056521738
national,wk ahead cum death,2021-09-27,1033.7549396195636
national,wk ahead cum death,2021-10-04,1047.0625644565237
national,wk ahead cum death,2021-10-11,848.2403504347818
national,wk ahead cum death,2021-10-18,701.8818476086972
national,wk ahead cum death,2021-10-25,1151.4750893478245
national,wk ahead cum death,2021-11-01,246.89767000000182
national,wk ahead inc case,2020-07-05,33960.78110803571
national,wk ahead inc case,2020-07-12,13334.883319642857
national,wk ahead inc case,2020-07-19,23540.794446428572
national,wk ahead inc case,2020-07-26,24846.02199107143
national,wk ahead inc case,2020-08-03,24383.65193392857
national,wk ahead inc case,2020-08-09,13662.116599107145
national,wk ahead inc case,2020-08-16,22417.578528571423
national,wk ahead inc case,2020-08-23,7155.999285714287
national,wk ahead inc case,2020-08-30,6857.612999107144
national,wk ahead inc case,2020-09-06,7030.113313392858
national,wk ahead inc case,2020-09-13,23204.82259732143
national,wk ahead inc case,2020-09-20,13968.656863392858
national,wk ahead inc case,2020-09-27,16702.50898839286
national,wk ahead inc case,2020-10-04,41492.19121785714
national,wk ahead inc case,2020-10-11,100920.66645446428
national,wk ahead inc case,2020-10-18,149497.69652946427
national,wk ahead inc case,2020-10-25,191701.1515830357
national,wk ahead inc case,2020-11-01,237054.1661794643
national,wk ahead inc case,2020-11-09,194046.13056785715
national,wk ahead inc case,2020-11-16,86115.78564642856
national,wk ahead inc case,2020-11-23,65997.56444017857
national,wk ahead inc case,2020-11-30,76394.50789196428
national,wk ahead inc case,2020-12-07,34566.69888214285
national,wk ahead inc case,2020-12-14,30556.09453035714
national,wk ahead inc case,2020-12-21,34523.26487232144
national,wk ahead inc case,2020-12-28,55159.908415178565
national,wk ahead inc case,2021-01-04,60580.75025089285
national,wk ahead inc case,2021-01-11,141397.765225
national,wk ahead inc case,2021-01-18,153689.36134910714
national,wk ahead inc case,2021-01-25,112059.84320267857
national,wk ahead inc case,2021-02-01,101336.91964821429
national,wk ahead inc case,2021-02-08,113970.64286160714
national,wk ahead inc case,2021-02-15,137975.55073303572
national,wk ahead inc case,2021-02-22,78519.39299196428
national,wk ahead inc case,2021-03-01,20161.5188375
national,wk ahead inc case,2021-03-08,17358.444623214287
national,wk ahead inc case,2021-03-15,18354.360326785714
national,wk ahead inc case,2021-03-22,19508.10226517857
national,wk ahead inc case,2021-03-29,8495.012253571427
national,wk ahead inc case,2021-04-05,11290.141860714286
national,wk ahead inc case,2021-04-12,39107.36122410714
national,wk ahead inc case,2021-04-19,61669.03887142857
national,wk ahead inc case,2021-04-26,52379.520548214285
national,wk ahead inc case,2021-05-03,41220.29401517857
national,wk ahead inc case,2021-05-10,42010.20645892857
national,wk ahead inc case,2021-05-17,46831.93719642857
national,wk ahead inc case,2021-05-24,60155.18069107143
national,wk ahead inc case,2021-05-31,18732.854763392857
national,wk ahead inc case,2021-06-07,3289.2755812500004
national,wk ahead inc case,2021-06-14,5207.578750892858
national,wk ahead inc case,2021-06-21,17040.82389375
national,wk ahead inc case,2021-06-28,44784.59445625
national,wk ahead inc case,2021-07-05,102649.01552857143
national,wk ahead inc case,2021-07-12,153289.20065714285
national,wk ahead inc case,2021-07-19,185280.2198607143
national,wk ahead inc case,2021-07-26,185253.06924464286
national,wk ahead inc case,2021-08-02,254495.63672500002
national,wk ahead inc case,2021-08-09,202763.22635267858
national,wk ahead inc case,2021-08-16,115035.90232142858
national,wk ahead inc case,2021-08-23,59303.800610714294
national,wk ahead inc case,2021-08-30,27211.856325892863
national,wk ahead inc case,2021-09-06,78836.16262232143
national,wk ahead inc case,2021-09-13,54022.44259553572
national,wk ahead inc case,2021-09-20,87546.35823571429
national,wk ahead inc case,2021-09-27,50405.71184107143
national,wk ahead inc case,2021-10-04,48064.458540178566
national,wk ahead inc case,2021-10-11,25421.385398214286
national,wk ahead inc case,2021-10-18,18056.35513928571
national,wk ahead inc case,2021-10-25,2011.6744696428575
national,wk ahead inc case,2021-11-01,5222.70509642857
national,wk ahead inc death,2020-07-05,744.5209261413044
national,wk ahead inc death,2020-07-12,450.01439951086957
national,wk ahead inc death,2020-07-19,537.0429288043479
national,wk ahead inc death,2020-07-26,365.540176576087
national,wk ahead inc death,2020-08-03,252.97181282608696
national,wk ahead inc death,2020-08-09,218.41910918478263
national,wk ahead inc death,2020-08-16,299.16354766304346
national,wk ahead inc death,2020-08-23,334.40635402173916
national,wk ahead inc death,2020-08-30,336.1132151630435
national,wk ahead inc death,2020-09-06,214.28641489130436
national,wk ahead inc death,2020-09-13,72.81159222826086
national,wk ahead inc death,2020-09-20,146.00402451086956
national,wk ahead inc death,2020-09-27,101.11902364130435
national,wk ahead inc death,2020-10-04,227.2874694021739
national,wk ahead inc death,2020-10-11,348.45093309782607
national,wk ahead inc death,2020-10-18,787.8057741304348
national,wk ahead inc death,2020-10-25,1014.9612432065218
national,wk ahead inc death,2020-11-01,1590.1959424456522
national,wk ahead inc death,2020-11-09,2161.816308641304
national,wk ahead inc death,2020-11-16,2852.807754673913
national,wk ahead inc death,2020-11-23,2090.0628443478263
national,wk ahead inc death,2020-11-30,2670.034831793478
national,wk ahead inc death,2020-12-07,846.3547892391305
national,wk ahead inc death,2020-12-14,775.4868927717391
national,wk ahead inc death,2020-12-21,811.0986769565218
national,wk ahead inc death,2020-12-28,1674.458961576087
national,wk ahead inc death,2021-01-04,1235.959514076087
national,wk ahead inc death,2021-01-11,456.1583533152175
national,wk ahead inc death,2021-01-18,660.1609410869565
national,wk ahead inc death,2021-01-25,915.2734426086956
national,wk ahead inc death,2021-02-01,1671.0166372282608
