loc_type,target_type,forecast_date,mean_qs
state,wk ahead inc case,2020-09-14,336.03303571428575
state,wk ahead inc case,2020-09-21,387.4794642857143
state,wk ahead inc case,2020-09-28,806.9294642857143
state,wk ahead inc case,2020-10-05,3106.610714285714
state,wk ahead inc case,2020-10-12,1018.6321428571429
state,wk ahead inc case,2020-10-19,1720.6901785714285
state,wk ahead inc case,2020-10-26,3395.0589285714286
state,wk ahead inc case,2020-11-02,4362.241071428572
state,wk ahead inc case,2020-11-09,1858.180357142857
state,wk ahead inc case,2020-11-16,18837.27767857143
state,wk ahead inc case,2020-11-23,2346.075892857143
state,wk ahead inc case,2020-11-30,1464.8419642857143
state,wk ahead inc case,2020-12-07,23601.694642857143
state,wk ahead inc case,2020-12-14,7621.082142857143
state,wk ahead inc case,2020-12-21,3269.1178571428572
