loc_type,target_type,mean_qs
county,wk ahead inc case,58.268016925849146
national,wk ahead cum death,2096.2158381558083
national,wk ahead inc case,147417.84125778332
national,wk ahead inc death,912.2124114728426
state,wk ahead cum death,67.43821743630708
state,wk ahead inc case,3102.956294908039
state,wk ahead inc death,25.661235020837662
