loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-12,22.567069020898714
county,wk ahead inc case,2020-07-19,25.113430001250737
county,wk ahead inc case,2020-07-26,19.02519156016434
county,wk ahead inc case,2020-08-03,15.797885221949334
county,wk ahead inc case,2020-08-09,11.912357654523127
national,wk ahead inc case,2020-07-12,48332.68873214286
national,wk ahead inc case,2020-07-19,109217.86180357143
national,wk ahead inc case,2020-07-26,42878.58119047619
national,wk ahead inc case,2020-08-03,21888.90260714286
national,wk ahead inc case,2020-08-09,5625.6200714285715
national,wk ahead inc death,2020-07-12,486.93885923913047
national,wk ahead inc death,2020-07-19,510.3489766304348
national,wk ahead inc death,2020-07-26,341.3709347826087
national,wk ahead inc death,2020-08-03,416.9638065217392
national,wk ahead inc death,2020-08-09,141.73534782608698
state,wk ahead inc case,2020-07-12,967.1144998405613
state,wk ahead inc case,2020-07-19,1537.7162984693878
state,wk ahead inc case,2020-07-26,710.3166358418367
state,wk ahead inc case,2020-08-03,519.1643233418367
state,wk ahead inc case,2020-08-09,325.9219036989796
state,wk ahead inc death,2020-07-12,17.511382938664596
state,wk ahead inc death,2020-07-19,16.414647554347827
state,wk ahead inc death,2020-07-26,13.144063095238096
state,wk ahead inc death,2020-08-03,17.15981572204969
state,wk ahead inc death,2020-08-09,7.694383307453417
