loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,17.170839048358122
county,wk ahead inc case,2020-07-12,15.49071785145768
county,wk ahead inc case,2020-07-19,16.330982227282032
county,wk ahead inc case,2020-07-26,16.152559129826717
county,wk ahead inc case,2020-08-03,17.082727460829126
county,wk ahead inc case,2020-08-09,15.05535959089462
county,wk ahead inc case,2020-08-16,15.612296005025698
county,wk ahead inc case,2020-08-23,13.677121121571838
county,wk ahead inc case,2020-08-30,13.724718001830627
county,wk ahead inc case,2020-09-06,13.406704305385
county,wk ahead inc case,2020-09-13,13.90131095647428
county,wk ahead inc case,2020-09-20,14.737957917462591
county,wk ahead inc case,2020-09-27,17.29350499101742
county,wk ahead inc case,2020-10-04,20.94270838961659
county,wk ahead inc case,2020-10-11,30.948591481898394
county,wk ahead inc case,2020-10-18,43.70899610508482
county,wk ahead inc case,2020-10-25,58.42550930151908
county,wk ahead inc case,2020-11-01,65.10110552172874
county,wk ahead inc case,2020-11-09,60.21945942687724
county,wk ahead inc case,2020-11-16,55.15873764753036
county,wk ahead inc case,2020-11-23,57.188907647416656
county,wk ahead inc case,2020-11-30,61.438392874766905
county,wk ahead inc case,2020-12-07,51.69515765423887
county,wk ahead inc case,2020-12-14,43.45643960749534
county,wk ahead inc case,2020-12-21,36.25918296692364
county,wk ahead inc case,2020-12-28,39.44552390276072
county,wk ahead inc case,2021-01-04,36.99761853424751
county,wk ahead inc case,2021-01-11,52.16054088552326
county,wk ahead inc case,2021-01-18,61.30628729476509
county,wk ahead inc case,2021-01-25,43.13814144068086
county,wk ahead inc case,2021-02-01,38.27465047385955
county,wk ahead inc case,2021-02-08,32.156806417997
county,wk ahead inc case,2021-02-15,24.607850224564515
county,wk ahead inc case,2021-02-22,18.959048995997637
county,wk ahead inc case,2021-03-01,18.482576857631784
county,wk ahead inc case,2021-03-08,18.671507486810388
county,wk ahead inc case,2021-03-15,16.415196630679493
county,wk ahead inc case,2021-03-22,15.48341078553994
county,wk ahead inc case,2021-03-29,12.617281636307819
county,wk ahead inc case,2021-04-05,10.181991449252306
national,wk ahead cum death,2020-07-05,1658.780505978261
national,wk ahead cum death,2020-07-12,944.4826898913042
national,wk ahead cum death,2020-07-19,1463.672234836956
national,wk ahead cum death,2020-07-26,997.1104998913041
national,wk ahead cum death,2020-08-03,386.8509761956521
national,wk ahead cum death,2020-08-09,409.08160853260887
national,wk ahead cum death,2020-08-16,543.5749322826085
national,wk ahead cum death,2020-08-23,700.0128443478253
national,wk ahead cum death,2020-08-30,838.6326702173924
national,wk ahead cum death,2020-09-06,476.37662929347886
national,wk ahead cum death,2020-09-13,152.29209657608698
national,wk ahead cum death,2020-09-20,345.054966141304
national,wk ahead cum death,2020-09-27,169.3956688586955
