loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,17.091889930697686
county,wk ahead inc case,2020-07-12,15.469514094692318
county,wk ahead inc case,2020-07-19,16.35402733348115
county,wk ahead inc case,2020-07-26,16.142030988197572
county,wk ahead inc case,2020-08-03,17.128964555475964
county,wk ahead inc case,2020-08-09,15.117093126620276
county,wk ahead inc case,2020-08-16,15.630327603242826
county,wk ahead inc case,2020-08-23,13.72421248237595
county,wk ahead inc case,2020-08-30,13.757331034531768
county,wk ahead inc case,2020-09-06,13.426346810046846
county,wk ahead inc case,2020-09-13,13.890047300677674
county,wk ahead inc case,2020-09-20,14.72929128490699
county,wk ahead inc case,2020-09-27,17.30246608166189
county,wk ahead inc case,2020-10-04,20.966571297243824
county,wk ahead inc case,2020-10-11,31.16231604641379
county,wk ahead inc case,2020-10-18,44.032441675194434
county,wk ahead inc case,2020-10-25,58.79770083515259
county,wk ahead inc case,2020-11-01,65.68745767299995
county,wk ahead inc case,2020-11-09,61.188642034781914
county,wk ahead inc case,2020-11-16,56.256723775697004
county,wk ahead inc case,2020-11-23,58.55679726400828
county,wk ahead inc case,2020-11-30,62.813016243120934
county,wk ahead inc case,2020-12-07,53.044043848353574
county,wk ahead inc case,2020-12-14,44.28013530267886
county,wk ahead inc case,2020-12-21,36.14057018437031
county,wk ahead inc case,2020-12-28,39.608066700777734
county,wk ahead inc case,2021-01-04,37.14995715479601
county,wk ahead inc case,2021-01-11,52.291874207486245
county,wk ahead inc case,2021-01-18,61.77973474098331
county,wk ahead inc case,2021-01-25,43.24612682977441
county,wk ahead inc case,2021-02-01,38.230412162584706
county,wk ahead inc case,2021-02-08,32.12094703517988
county,wk ahead inc case,2021-02-15,24.566146160799565
county,wk ahead inc case,2021-02-22,18.931525789102654
county,wk ahead inc case,2021-03-01,18.436894170134625
county,wk ahead inc case,2021-03-08,18.68931129133124
county,wk ahead inc case,2021-03-15,16.497874030961476
county,wk ahead inc case,2021-03-22,17.092064712386865
county,wk ahead inc case,2021-03-29,14.746653253058627
county,wk ahead inc case,2021-04-05,14.030415631107678
county,wk ahead inc case,2021-04-12,14.647333083439388
county,wk ahead inc case,2021-04-19,18.24498608358711
county,wk ahead inc case,2021-04-26,16.067318625005683
county,wk ahead inc case,2021-05-03,15.59558023640971
county,wk ahead inc case,2021-05-10,13.899674436957412
county,wk ahead inc case,2021-05-17,11.638914842791237
county,wk ahead inc case,2021-05-24,9.5498366633903
county,wk ahead inc case,2021-05-31,7.92373107841689
county,wk ahead inc case,2021-06-07,5.922158019237762
county,wk ahead inc case,2021-06-14,5.798711894345712
county,wk ahead inc case,2021-06-21,8.382979638993682
county,wk ahead inc case,2021-06-28,15.899403902947594
county,wk ahead inc case,2021-07-05,29.195256595438845
county,wk ahead inc case,2021-07-12,46.59386901106768
county,wk ahead inc case,2021-07-19,61.86636673929594
county,wk ahead inc case,2021-07-26,73.65049328553248
county,wk ahead inc case,2021-08-02,73.41772792060588
county,wk ahead inc case,2021-08-09,61.84801222330803
county,wk ahead inc case,2021-08-16,51.243226156197444
county,wk ahead inc case,2021-08-23,45.37566921674015
county,wk ahead inc case,2021-08-30,42.30306022226262
county,wk ahead inc case,2021-09-06,39.46480504920231
county,wk ahead inc case,2021-09-13,35.01367021641062
county,wk ahead inc case,2021-09-20,37.26229146800146
county,wk ahead inc case,2021-09-27,25.932019166174264
county,wk ahead inc case,2021-10-04,21.568340400720423
county,wk ahead inc case,2021-10-11,18.336822645845643
county,wk ahead inc case,2021-10-18,17.1385852341939
county,wk ahead inc case,2021-10-25,18.293091453513476
county,wk ahead inc case,2021-11-01,20.183239903868007
county,wk ahead inc case,2021-11-08,25.674400494579793
county,wk ahead inc case,2021-11-15,27.98845696161538
county,wk ahead inc case,2021-11-22,32.84252134448434
county,wk ahead inc case,2021-11-29,43.131229352074904
county,wk ahead inc case,2021-12-06,35.81423436775601
county,wk ahead inc case,2021-12-13,33.66740173855734
national,wk ahead cum death,2020-07-05,1590.4612233695652
national,wk ahead cum death,2020-07-12,914.4607877173913
national,wk ahead cum death,2020-07-19,1384.0056587499996
national,wk ahead cum death,2020-07-26,925.1078911956521
national,wk ahead cum death,2020-08-03,434.1116392391304
national,wk ahead cum death,2020-08-09,433.29346722826085
national,wk ahead cum death,2020-08-16,600.0276931521742
national,wk ahead cum death,2020-08-23,772.0316486956511
national,wk ahead cum death,2020-08-30,975.2087789130446
national,wk ahead cum death,2020-09-06,596.2450097282615
national,wk ahead cum death,2020-09-13,94.46823788043466
national,wk ahead cum death,2020-09-20,403.4169987499997
national,wk ahead cum death,2020-09-27,190.2773862499997
national,wk ahead cum death,2020-10-04,405.08478494565236
national,wk ahead cum death,2020-10-11,596.0772833152168
national,wk ahead cum death,2020-10-18,1744.4504399999998
national,wk ahead cum death,2020-10-25,1981.9466538043482
national,wk ahead cum death,2020-11-01,3714.381473532609
national,wk ahead cum death,2020-11-09,4896.792482173914
national,wk ahead cum death,2020-11-16,6264.984622934781
