loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,15.975071240960567
county,wk ahead inc case,2020-07-12,14.619422843612135
county,wk ahead inc case,2020-07-19,14.985882626665758
county,wk ahead inc case,2020-07-26,13.633363127454102
county,wk ahead inc case,2020-08-03,13.215797471233001
county,wk ahead inc case,2020-08-09,11.021767214717789
national,wk ahead inc case,2020-07-05,27063.720357142854
national,wk ahead inc case,2020-07-12,14046.252232142859
national,wk ahead inc case,2020-07-19,15085.052767857143
national,wk ahead inc case,2020-07-26,16522.053285714286
national,wk ahead inc case,2020-08-03,15447.289214285714
national,wk ahead inc case,2020-08-09,5563.128214285714
national,wk ahead inc death,2020-07-05,758.333302173913
national,wk ahead inc death,2020-07-12,481.0176173913044
national,wk ahead inc death,2020-07-19,506.2494766304348
national,wk ahead inc death,2020-07-26,346.00365942028986
national,wk ahead inc death,2020-08-03,235.64286086956523
national,wk ahead inc death,2020-08-09,112.86925217391303
state,wk ahead inc case,2020-07-05,624.9448372130103
state,wk ahead inc case,2020-07-12,458.90609390943877
state,wk ahead inc case,2020-07-19,487.7469459502551
state,wk ahead inc case,2020-07-26,447.16822406462586
state,wk ahead inc case,2020-08-03,420.95212531887756
state,wk ahead inc case,2020-08-09,316.369318877551
state,wk ahead inc death,2020-07-05,27.521755745341615
state,wk ahead inc death,2020-07-12,21.832699524456523
state,wk ahead inc death,2020-07-19,17.950512548524845
state,wk ahead inc death,2020-07-26,13.020748278985508
state,wk ahead inc death,2020-08-03,8.75719972826087
state,wk ahead inc death,2020-08-09,6.820564324534161
