loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,15.03360030927366
county,wk ahead inc case,2020-07-12,12.511626682812572
county,wk ahead inc case,2020-07-19,10.572260608541411
national,wk ahead inc case,2020-07-05,27850.850095238093
national,wk ahead inc case,2020-07-12,13466.917642857146
national,wk ahead inc case,2020-07-19,7137.044857142858
national,wk ahead inc death,2020-07-05,543.4019456521739
national,wk ahead inc death,2020-07-12,270.05210217391306
national,wk ahead inc death,2020-07-19,273.23924782608697
state,wk ahead inc case,2020-07-05,609.068549957483
state,wk ahead inc case,2020-07-12,398.4406667729592
state,wk ahead inc case,2020-07-19,269.6285580357143
state,wk ahead inc death,2020-07-05,21.282152368012422
state,wk ahead inc death,2020-07-12,15.38368355978261
state,wk ahead inc death,2020-07-19,10.494158152173913
