loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,13.065790819575204
county,wk ahead inc case,2020-07-12,12.136858473188703
national,wk ahead inc case,2020-07-05,8219.969607142859
national,wk ahead inc case,2020-07-12,2307.138928571429
national,wk ahead inc death,2020-07-05,720.9450152173913
national,wk ahead inc death,2020-07-12,207.81567826086962
state,wk ahead inc case,2020-07-05,404.61673533163264
state,wk ahead inc case,2020-07-12,306.2199445153061
state,wk ahead inc death,2020-07-05,19.204243982919255
state,wk ahead inc death,2020-07-12,10.852934666149068
